epoch,loss,rmse_train,rmse_val
43,3.924521564613315e-08,0.0001980882225325331,0.00023143479484133422
44,3.9236529403297024e-08,0.00019806684576906264,0.00023141952988225967
45,3.922808900824748e-08,0.00019804586190730333,0.0002314042067155242
46,3.921984614407847e-08,0.00019802474707830697,0.000231389538384974
47,3.921149044572303e-08,0.00019800402515102178,0.0002313749719178304
48,3.9203264918796777e-08,0.00019798381254076958,0.0002313606528332457
49,3.9195282681703245e-08,0.00019796327978838235,0.00023134640650823712
50,3.9187245590710515e-08,0.0001979431981453672,0.0002313324948772788
51,3.9179310817871736e-08,0.00019792377133853734,0.00023131862690206617
52,3.9171666941228974e-08,0.00019790390797425061,0.0002313050936209038
53,3.916380848068002e-08,0.00019788478675764054,0.00023129154578782618
54,3.9156246600668963e-08,0.00019786556367762387,0.00023127846361603588
55,3.914866283594165e-08,0.000197846646187827,0.00023126571613829583
56,3.914122316928115e-08,0.00019782841263804585,0.0002312531869392842
57,3.9134033897880724e-08,0.00019780958245974034,0.00023124083236325532
58,3.912656865168174e-08,0.00019779174181167036,0.0002312287106178701
59,3.911960433811146e-08,0.00019777356646955013,0.00023121695267036557
60,3.91124019927247e-08,0.00019775613327510655,0.00023120560217648745
61,3.910558874054004e-08,0.00019773848180193454,0.00023119412071537226
62,3.9098600268516746e-08,0.00019772167433984578,0.00023118317767512053
63,3.909198710516648e-08,0.00019770441576838493,0.00023117229284252971
64,3.9085205258970746e-08,0.00019768811762332916,0.00023116133525036275
65,3.9078769873412966e-08,0.00019767145568039268,0.0002311509451828897
66,3.9072219664149085e-08,0.0001976557105081156,0.00023114097712095827
67,3.9066000141474434e-08,0.00019763958698604256,0.00023113151837605983
68,3.905966224238e-08,0.00019762408919632435,0.00023112224880605936
69,3.9053647213904695e-08,0.00019760879513341933,0.00023111329937819391
70,3.90475143774438e-08,0.0001975935883820057,0.00023110433539841324
71,3.904159711964894e-08,0.00019757894915528595,0.000231095589697361
72,3.903588194020813e-08,0.0001975640916498378,0.0002310875861439854
73,3.9029979035376526e-08,0.00019755041284952313,0.00023107962624635547
74,3.902460932181384e-08,0.0001975357736228034,0.00023107165179681033
75,3.901891759028331e-08,0.00019752192019950598,0.00023106418666429818
76,3.901338885725636e-08,0.0001975088962353766,0.0002310570125700906
77,3.9008257459727245e-08,0.0001974951446754858,0.00023104954743757844
78,3.900291375202869e-08,0.00019748200429603457,0.00023104267893359065
79,3.899771584769951e-08,0.00019746951875276864,0.00023103595594875515
80,3.8992864972442475e-08,0.00019745658210013062,0.00023102918930817395
81,3.898779752375958e-08,0.00019744424207601696,0.00023102309205569327
82,3.898289534731703e-08,0.00019743249868042767,0.00023101730039343238
83,3.8978268719347395e-08,0.0001974204642465338,0.0002310110576217994
84,3.897352243598107e-08,0.00019740873540285975,0.00023100538237486035
85,3.896894455124311e-08,0.00019739782146643847,0.00023099948884919286
86,3.8964599440305394e-08,0.0001973863400053233,0.0002309943229192868
87,3.896010710491282e-08,0.0001973753096535802,0.00023098867677617818
88,3.895582537438713e-08,0.0001973647013073787,0.00023098380188457668
89,3.895171815315735e-08,0.0001973545440705493,0.00023097846133168787
90,3.894771523960117e-08,0.00019734393572434783,0.0002309731935383752
91,3.894354904332431e-08,0.00019733388035092503,0.00023096849326975644
92,3.8939652142744307e-08,0.00019732424698304385,0.00023096347285900265
93,3.8935933730499525e-08,0.00019731573411263525,0.0002309587289346382
94,3.893244326036438e-08,0.00019730592612177134,0.00023095443611964583
95,3.8928559575879264e-08,0.00019729651103261858,0.00023094989592209458
96,3.8924953713603825e-08,0.0001972877944353968,0.0002309453411726281
97,3.892161743124234e-08,0.00019727967446669936,0.00023094080097507685
98,3.891840535175106e-08,0.00019727229664567858,0.0002309363626409322
99,3.8915432014619e-08,0.00019726378377526999,0.00023093196796253324
100,3.891220131890805e-08,0.00019725541642401367,0.00023092808260116726
epoch,loss,rmse_train,rmse_val
1,3.88438184018014e-08,0.00019709079060703516,0.0002306373935425654
2,3.8845243750529335e-08,0.00019709453044924885,0.00023064648848958313
3,3.884654859120928e-08,0.00019709754269570112,0.000230654317419976
4,3.8847664143304426e-08,0.00019709985645022243,0.0002306619135197252
5,3.884857193270364e-08,0.0001971024030353874,0.00023066936410032213
6,3.884974674406294e-08,0.00019710554624907672,0.00023067706206347793
7,3.885102202616508e-08,0.00019710887863766402,0.00023068461450748146
epoch,loss,rmse_train,rmse_val
1,2.8006507619693366e-08,0.00016744894674047828,0.00014552357606589794
2,2.8048618077036736e-08,0.00016758221318013966,0.00014541015843860805
3,2.809302756645593e-08,0.00016772144590504467,0.00014529791951645166
4,2.8139513972291752e-08,0.00016786562628112733,0.00014518725220113993
5,2.8187752718622505e-08,0.00016801510355435312,0.0001450779673177749
6,2.8237635376626712e-08,0.00016816759307403117,0.00014497016672976315
7,2.828873348903471e-08,0.00016832422988954931,0.00014486406871583313
8,2.8341221991468046e-08,0.0001684834569459781,0.00014475944044534117
9,2.839464968928951e-08,0.00016864517237991095,0.00014465657295659184
10,2.8448947517745182e-08,0.00016880896873772144,0.00014455550990533084
11,2.8504078102287166e-08,0.00016897445311769843,0.00014445641136262566
12,2.8559787921267342e-08,0.00016914159641601145,0.00014435923367273062
13,2.8616123159963534e-08,0.00016931025311350822,0.00014426407869905233
14,2.8673052128169728e-08,0.000169479419128038,0.00014417101920116693
15,2.8730232060070195e-08,0.00016964998212642968,0.0001440803025616333
16,2.878787100257796e-08,0.000169821287272498,0.0001439914631191641
17,2.8845913959685276e-08,0.00016999295621644706,0.0001439048646716401
18,2.8904101014859407e-08,0.00017016522178892046,0.00014382028894033283
19,2.896261420914925e-08,0.00017033822950907052,0.00014373761950992048
20,2.9021384051475253e-08,0.00017051100439857692,0.00014365713286679238
21,2.9080103587375562e-08,0.00017068386659957469,0.0001435783924534917
22,2.913898725864783e-08,0.000170856699696742,0.00014350147102959454
23,2.919788940403123e-08,0.0001710292708594352,0.00014342633949127048
24,2.9256837450475358e-08,0.00017120139091275632,0.00014335291052702814
25,2.931556295493465e-08,0.00017137298709712923,0.00014328089309856296
26,2.9374162693329708e-08,0.00017154347733594477,0.0001432104763807729
27,2.9432653008143462e-08,0.00017171358922496438,0.00014314103464130312
28,2.9490916091390318e-08,0.00017188259516842663,0.0001430730044376105
29,2.9548772033649584e-08,0.00017205036419909447,0.00014300626935437322
30,2.9606423765926594e-08,0.0001722167362459004,0.000142940494697541
31,2.9663575418226174e-08,0.00017238159489352256,0.00014287568046711385
32,2.9720192316062823e-08,0.00017254491103813052,0.00014281171024776995
33,2.9776487195931623e-08,0.0001727069466141984,0.00014274880231823772
34,2.983232818110082e-08,0.000172867308720015,0.00014268644736148417
35,2.9887547725593325e-08,0.00017302505148109049,0.0001426249073119834
36,2.994208699647061e-08,0.00017318160098511726,0.00014256409485824406
37,2.999616924626025e-08,0.0001733360841171816,0.00014250395179260522
38,3.004951324214744e-08,0.00017348825349472463,0.00014244475460145622
39,3.0102165453627095e-08,0.0001736381382215768,0.0001423862559022382
40,3.015413440721204e-08,0.00017378611664753407,0.00014232826652005315
41,3.0205393812821056e-08,0.0001739318686304614,0.00014227138308342546
42,3.025597223427212e-08,0.00017407503037247807,0.0001422151835868135
43,3.030559980743419e-08,0.0001742157037369907,0.00014215969713404775
44,3.0354629529938395e-08,0.00017435441259294748,0.00014210499648470432
45,3.040276823185195e-08,0.00017449038568884134,0.00014205113984644413
46,3.04501588743733e-08,0.00017462378309573978,0.00014199824363458902
